,fold,Top_n_feats,train,val,test,Ext,Ext_rm_sim_0_6,Ext_rm_sim_0_7,Ext_rm_sim_0_8,Ext_rm_sim_0_9
52,2,30,0.9725273387077132,0.8470786963434023,0.897065897065897,0.7385464491550259,0.38888888888888884,0.6178947368421053,0.7186854460093897,0.743598615916955
53,3,30,0.9795436483326672,0.786793372319688,0.7868913857677903,0.6580866790400834,0.22222222222222224,0.5257894736842106,0.620093896713615,0.6612456747404845
54,4,30,0.9794502074688797,0.8192865928659288,0.8502851711026617,0.7184722086548794,0.38888888888888884,0.6047368421052631,0.6979342723004696,0.7224913494809688
55,0,25,0.9774235930228818,0.8448171441882134,0.8616176470588236,0.7776041157891309,0.2222222222222222,0.69,0.7420657276995305,0.7816608996539793
56,1,25,0.9800750724515432,0.8644679826673086,0.8082843137254903,0.7428771449969066,0.38888888888888884,0.6836842105263157,0.7257276995305164,0.7494809688581314
57,2,25,0.9740689465159892,0.8655107313195549,0.897065897065897,0.7457914102438866,0.38888888888888884,0.6573684210526316,0.7227699530516433,0.7501730103806228
58,3,25,0.9793553010570416,0.7999512670565302,0.8037687265917602,0.6753280583504282,0.22222222222222224,0.5652631578947368,0.6412206572769954,0.6788927335640138
59,4,25,0.9754253112033195,0.8155965559655596,0.8621899330074235,0.7299664615284426,0.38888888888888884,0.6573684210526316,0.7190610328638498,0.7342560553633217
60,0,20,0.9647549418190671,0.8429303517353832,0.8549509803921569,0.7933476604473967,0.2222222222222222,0.7163157894736841,0.7698591549295776,0.7968858131487888
61,1,20,0.9676871388719852,0.8644679826673086,0.8119607843137255,0.7601185243072515,0.4444444444444444,0.71,0.7468544600938968,0.767128027681661
62,2,20,0.9617334202001996,0.8556736883942766,0.9035594035594035,0.7529549672755689,0.38888888888888884,0.6705263157894736,0.7331455399061033,0.7577854671280277
63,3,20,0.9704650799557154,0.7933723196881091,0.8056413857677902,0.6983165640975546,0.22222222222222224,0.6178947368421053,0.6693896713615024,0.7024221453287197
64,4,20,0.9649642692485016,0.8137515375153752,0.8581386927394532,0.7299664615284426,0.38888888888888884,0.6705263157894736,0.7261032863849766,0.7342560553633217
65,0,15,0.9600531506824144,0.841043559282553,0.8639215686274508,0.8178340008466022,0.2777777777777778,0.7426315789473684,0.7843192488262911,0.8152249134948096
66,1,15,0.9671034595988505,0.8719306692344729,0.8082843137254903,0.7587020937123508,0.4444444444444444,0.71,0.7435211267605634,0.7653979238754326
67,2,15,0.949885758907913,0.8691872019077901,0.9017075517075517,0.7701963465859138,0.38888888888888884,0.6968421052631579,0.7542723004694836,0.7754325259515571
68,3,15,0.9626773794921973,0.8094054580896687,0.8118913857677903,0.7270521962814627,0.22222222222222224,0.6573684210526316,0.7046009389671362,0.7318339100346021
69,4,15,0.9548755186721991,0.8252398523985238,0.8521863117870723,0.7701963465859138,0.4444444444444444,0.7363157894736841,0.7753990610328638,0.7754325259515571
70,0,10,0.9644299279227132,0.8491031912415561,0.8561029411764706,0.8077561785679398,0.3888888888888889,0.7357894736842104,0.7843192488262911,0.8110726643598617
71,1,10,0.9723170334933996,0.8552131814048038,0.8197794117647058,0.7587020937123508,0.4444444444444444,0.71,0.7435211267605634,0.7653979238754326
72,2,10,0.969957104410726,0.8605922098569156,0.8952140452140454,0.7716127771808147,0.4444444444444444,0.71,0.7646478873239436,0.7771626297577854
73,3,10,0.9699609064557178,0.786793372319688,0.8056413857677902,0.7428771449969066,0.33333333333333337,0.71,0.7223943661971831,0.7477508650519031
74,4,10,0.9632976025818349,0.797441574415744,0.8540874524714829,0.7773599036175962,0.6111111111111112,0.7694736842105263,0.7857746478873239,0.7830449826989618
