threshold,topN,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.85,Top90,0.9912106401211606,0.0066853252356273,0.9912106401211606,0.0066853252356273,0.826609555984556,0.0314091889132228,0.8097863434274675,0.01881922509221,0.4785714285714285,0.1326726830071908,0.7025974025974027,0.1293695257933902,0.7784647529093405,0.0202463995686972,0.8250833381765771,0.0220683251211994
0.8,Top130,0.9924914902415282,0.005286973860873,0.9924914902415282,0.005286973860873,0.8313718591710956,0.040852811216208,0.8094471780807184,0.0162147173031595,0.5238095238095237,0.1064794274999899,0.7301923076923077,0.1300809090505147,0.7737426900584795,0.0186933371444474,0.822308188265635,0.020008252927544
0.9,Top20,0.969607892935178,0.003389114408702,0.969607892935178,0.003389114408702,0.7964699870619829,0.0175730677007309,0.8086029060453612,0.0812806667696097,0.673073593073593,0.0607461275701368,0.8365681003584229,0.041946328974762,0.7876153030798341,0.0858291273041481,0.8143939393939394,0.0800463511925217
0.2,Top10,0.9987987987987988,0.0020805415105932,0.9987987987987988,0.0020805415105932,0.9040098970228794,0.0472609420088915,0.8075880758807589,0.1725289327089106,0.5,0.0,0.691304347826087,0.1291238469992826,0.7675070028011205,0.2109784880409024,0.8075880758807589,0.1725289327089106
0.8,Top120,0.9941124829337388,0.0043663978056839,0.9941124829337388,0.0043663978056839,0.8346523782657107,0.0481509623816472,0.8030294530154277,0.0028957971508069,0.39,0.0894427190999915,0.678051948051948,0.1572624853228857,0.767707500973221,0.0075365468219239,0.8167300916138126,0.0119110048549842
0.9,Top30,0.9875150417223256,0.0014846263004138,0.9875150417223256,0.0014846263004138,0.8133721600388266,0.017801122592377,0.8030186382944333,0.0461109430569472,0.6233333333333333,0.075782950295931,0.8713268365817092,0.0138477703020336,0.7716044588173916,0.0478299532905673,0.8055408418786649,0.0446701271541405
0.9,Top60,0.9866576113140372,0.0079798009238528,0.9866576113140372,0.0079798009238528,0.8168497364777135,0.0116804221971815,0.8017158045503908,0.0480050365484414,0.5435714285714285,0.172363521875916,0.8047863421230561,0.10298999399807,0.7643967932000386,0.044450314379138,0.8061665732930964,0.0468981893758627
0.85,Top130,0.9879510017513958,0.0042866186500537,0.9879510017513958,0.0042866186500537,0.8309632535186333,0.0364663622511873,0.8003549319085554,0.0167459383520917,0.5071428571428571,0.1437472271249864,0.7331269349845202,0.1870604529829632,0.7708483848958355,0.0201316666360838,0.817733093237295,0.0148487889724823
0.1,Top15,0.995475113122172,,0.995475113122172,,0.6666666666666666,,0.8,,0.0,,0.75,,0.8,,0.8,
0.85,Top120,0.9908640809289204,0.005261198539623,0.9908640809289204,0.005261198539623,0.8352238249787061,0.0437143656186233,0.7992362922458393,0.0189069681851756,0.4928571428571429,0.1392399192115566,0.7218487394957983,0.1804297766851886,0.7673316890708195,0.018251213232817,0.8145546703529897,0.0244843233641478
