threshold,topN,train_SE,train_SE_std,val_SE,val_SE_std,test_SE,test_SE_std,ext_SE,ext_SE_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.5,Top100,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9835902451485335,0.0044539050045336,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.5,Top120,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9821170865967233,0.0081170183657344,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.5,Top140,0.9997221773481212,0.0002536185072075,0.9997221773481212,0.0002536185072075,0.979883665138252,0.0062899894878658,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.7,Top25,1.0,0.0,1.0,0.0,0.9925414629331316,0.0037760295348576,0.9983002832861192,0.0025337880764869,0.8666666666666666,0.1825741858350554,0.984,0.0219089023002066,0.996,0.0059628479399994,0.997923875432526,0.0030949037750862
0.5,Top70,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9896534870813556,0.008391961144146,0.9983002832861192,0.0015516219759352,0.9333333333333332,0.1490711984999859,0.992,0.0178885438199983,0.9986666666666666,0.0029814239699997,0.9993079584775086,0.0015474518875431
0.5,Top90,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9828661502671352,0.0090077165032379,0.9983002832861192,0.0015516219759352,0.9333333333333332,0.149071198499986,0.992,0.0178885438199983,0.9986666666666666,0.0029814239699997,0.9993079584775086,0.0015474518875431
0.5,Top80,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.982843558427534,0.006431046518725,0.9983002832861192,0.0015516219759352,0.9333333333333332,0.149071198499986,0.992,0.0178885438199983,0.9986666666666666,0.0029814239699997,0.9993079584775086,0.0015474518875431
0.5,Top130,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9806327288086644,0.006706113989515,0.9983002832861192,0.0015516219759352,0.9333333333333332,0.149071198499986,0.992,0.0178885438199983,0.9986666666666666,0.0029814239699997,0.9993079584775086,0.0015474518875431
0.6,Top100,0.999629841244705,0.0003865151023016,0.999629841244705,0.0003865151023016,0.9806244058789928,0.0056078924242887,0.9983002832861192,0.0015516219759352,0.9333333333333332,0.1490711984999859,0.992,0.0178885438199983,0.9986666666666666,0.0029814239699997,0.9993079584775086,0.0015474518875431
0.1,Top10,0.9999074502545116,0.0002069475222119,0.9999074502545116,0.0002069475222119,0.9970424836601308,0.0048280097246859,0.9971671388101984,0.0063344701912174,0.8666666666666666,0.2981423969999719,0.968,0.0715541752799932,0.9933333333333334,0.0149071198499985,0.9965397923875432,0.0077372594377155
0.4,Top50,0.9999074502545116,0.0002069475222119,0.9999074502545116,0.0002069475222119,0.9940904139433552,0.0085142148080678,0.9971671388101984,0.0040062707149379,0.7333333333333333,0.4346134936801766,0.968,0.0521536192416211,0.9946666666666666,0.0086922698736035,0.9972318339100346,0.0045115587579257
0.7,Top20,1.0,0.0,1.0,0.0,0.9902912022482148,0.0050789832879915,0.9971671388101984,0.0020031353574689,0.7333333333333333,0.1490711984999859,0.968,0.0178885438199983,0.9933333333333334,0.0047140452079102,0.9965397923875432,0.0024467362670815
0.6,Top120,0.9996299689571576,0.0002068582479894,0.9996299689571576,0.0002068582479894,0.9761628162180408,0.0068246924837589,0.9971671388101984,0.0034695322135739,1.0,0.0,1.0,0.0,0.9973333333333332,0.0059628479399993,0.9986159169550174,0.0030949037750862
0.5,Top60,0.9999074502545116,0.0002069475222119,0.9999074502545116,0.0002069475222119,0.9926089324618736,0.0114090113750743,0.996600566572238,0.0046548659278059,0.6666666666666666,0.4714045207910317,0.96,0.0565685424949238,0.9933333333333334,0.0094280904158206,0.9965397923875432,0.004893472534163
0.5,Top50,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9918736383442266,0.0118134228961489,0.996600566572238,0.004654865927806,0.6666666666666666,0.4714045207910317,0.96,0.0565685424949237,0.9933333333333334,0.0094280904158206,0.9965397923875432,0.004893472534163
0.6,Top90,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9791369784172528,0.0077890084937739,0.996600566572238,0.0023701417182268,0.7333333333333333,0.2788866755113585,0.968,0.033466401061363,0.9946666666666666,0.0055777335102271,0.9972318339100346,0.0028950173928515
0.6,Top60,0.9999074502545116,0.0002069475222119,0.9999074502545116,0.0002069475222119,0.9896371472120746,0.012095537584584,0.9960339943342776,0.0055222630848775,0.6666666666666666,0.4714045207910317,0.96,0.0565685424949238,0.992,0.0119256958799988,0.995847750865052,0.0061898075501724
0.2,Top15,0.9998149005090236,0.0004138950444238,0.9998149005090236,0.0004138950444238,0.9948148148148148,0.0115944265499989,0.9954674220963172,0.010135152305948,0.8666666666666666,0.2981423969999719,0.96,0.0894427190999915,0.9893333333333334,0.0238513917599977,0.9944636678200692,0.0123796151003448
0.6,Top70,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9851553426609344,0.0094316720508706,0.9943342776203966,0.0052997979982634,0.4666666666666666,0.5055250296034367,0.936,0.0606630035524124,0.9893333333333334,0.0101105005920687,0.9944636678200692,0.0052476646671637
0.6,Top80,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9791172628842292,0.0079002887777302,0.9943342776203966,0.0044791468274339,0.4666666666666666,0.4472135954999579,0.936,0.0536656314599949,0.9893333333333332,0.0089442719099991,0.9944636678200692,0.0046423556626294
0.3,Top15,0.9997223507635354,0.0006208425666357,0.9997223507635354,0.0006208425666357,0.994074074074074,0.0132507731999987,0.9937677053824364,0.0139358344206786,0.8666666666666666,0.2981423969999719,0.96,0.0894427190999915,0.9853333333333334,0.0327956636699969,0.9923875432525952,0.0170219707629741
0.6,Top50,0.9998145134515376,0.0002539888383974,0.9998145134515376,0.0002539888383974,0.9881665589767804,0.0146161385689623,0.9937677053824364,0.0085924934210215,0.6666666666666666,0.4714045207910317,0.96,0.0565685424949237,0.9866666666666668,0.0188561808316412,0.9930795847750864,0.0097869450683258
0.6,Top130,0.999445210820706,0.000386299508679,0.999445210820706,0.000386299508679,0.9761514236146888,0.0078445527949344,0.9926345609065156,0.0051461479106473,0.6,0.3651483716701107,0.952,0.0438178046004132,0.9866666666666668,0.0094280904158206,0.9930795847750864,0.0048934725341629
0.8,Top40,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9761400310113364,0.0095257357569693,0.9926345609065156,0.0015516219759354,0.2666666666666666,0.1490711984999859,0.912,0.0178885438199983,0.984,0.0036514837167011,0.9916955017301036,0.0018952337629936
