threshold,topN,train_FP,train_FP_std,val_FP,val_FP_std,test_FP,test_FP_std,ext_FP,ext_FP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.6,Top60,77.8,63.23132135263346,77.8,63.23132135263346,36.8,12.091319200153473,77.2,9.418067742376882,9.0,0.0,36.6,1.9493588689617927,65.6,6.655824516917495,75.6,8.905054744357274
0.6,Top70,26.6,24.42949037536395,26.6,24.42949037536395,33.0,9.513148795220223,74.8,9.093954035511723,8.6,0.547722557505166,37.0,1.7320508075688767,64.0,6.964194138592059,73.2,8.555699854482976
0.6,Top80,10.4,2.701851217221259,10.4,2.701851217221259,30.0,5.291502622129181,72.2,4.494441010848847,8.8,0.44721359549995804,37.0,1.0,62.0,3.0822070014844876,70.6,3.9749213828703587
0.6,Top90,9.8,2.3874672772626644,9.8,2.3874672772626644,30.4,6.06630035524124,75.0,3.0822070014844867,9.0,0.0,37.2,1.0954451150103324,64.0,2.3452078799117158,73.4,2.6076809620810613
0.7,Top10,43.0,46.33573135281238,43.0,46.33573135281238,24.6,7.635443667528429,41.4,17.052858997833766,4.4,2.5099800796022267,16.4,6.348228099241552,34.4,14.741099009232656,40.0,16.507574019219177
0.7,Top100,5.2,2.16794833886788,5.2,2.16794833886788,27.0,5.244044240850758,69.0,7.000000000000002,8.4,0.547722557505166,34.0,2.4494897427831788,59.0,5.431390245600107,67.4,6.5038450166036395
0.7,Top120,4.4,2.0736441353327724,4.4,2.0736441353327724,25.8,5.805170109479997,65.6,4.878524367060187,8.2,0.8366600265340755,34.0,1.870828693386971,56.6,3.9115214431215883,64.2,4.494441010848846
0.7,Top130,3.4,2.1908902300206643,3.4,2.1908902300206643,25.6,5.9833101206606365,66.4,5.941380311005179,8.6,0.5477225575051662,33.4,2.9664793948382644,57.4,4.8270073544588685,65.0,5.522680508593631
0.7,Top140,3.8,2.6832815729997477,3.8,2.6832815729997477,25.4,6.348228099241551,68.4,5.1283525619832355,8.4,0.5477225575051662,34.8,3.1144823004794877,59.2,4.764451699828638,67.0,4.84767985741633
0.7,Top15,89.2,50.12683911838048,89.2,50.12683911838048,28.6,8.44393273303382,56.0,16.852299546352718,5.0,2.5495097567963922,23.4,9.262828941527529,46.6,14.943225890014512,54.2,16.46815108019112
0.7,Top20,105.2,15.833508770957875,105.2,15.833508770957875,31.8,4.969909455915671,66.0,9.797958971132713,6.4,1.51657508881031,29.0,5.0,55.4,9.262828941527529,64.0,9.797958971132713
0.7,Top25,90.6,13.126309458488324,90.6,13.126309458488324,33.6,7.503332592921628,69.6,7.987490219086342,7.6,0.894427190999916,32.4,3.361547262794322,58.6,7.893034904268446,67.6,7.987490219086342
0.7,Top30,79.0,13.152946437965905,79.0,13.152946437965905,32.6,6.8044103344816,69.8,5.761944116355173,8.0,0.0,33.4,1.8165902124584945,59.0,5.958187643906493,68.0,5.958187643906494
0.7,Top40,64.4,17.08215443086732,64.4,17.08215443086732,33.0,5.830951894845301,75.2,3.7013511046643512,8.2,0.44721359549995815,35.8,0.8366600265340749,63.8,3.1144823004794864,73.2,3.7013511046643512
0.7,Top50,42.4,39.54491117704021,42.4,39.54491117704021,31.6,10.114346246792227,68.6,11.588787684654509,8.0,1.0,34.4,4.277849927241488,58.2,8.613942186943211,67.0,11.045361017187261
0.7,Top60,33.2,25.073890802984685,33.2,25.073890802984685,30.2,9.549869109050658,66.8,11.476062042355819,7.8,1.6431676725154984,34.2,5.357238094391549,57.8,9.67987603226405,65.2,10.986355173577813
