threshold,topN,train_TN,train_TN_std,val_TN,val_TN_std,test_TN,test_TN_std,ext_TN,ext_TN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.5,Top60,436.0,146.79918255903198,436.0,146.79918255903198,29.4,18.008331405213532,4.4,5.594640292279746,0.0,0.0,0.6,1.3416407864998738,2.4,3.9115214431215892,4.2,5.215361924162119
0.5,Top70,535.2,81.45059852450443,535.2,81.45059852450443,36.8,12.988456413292536,5.6,6.107372593840988,0.0,0.0,0.2,0.447213595499958,2.4,3.361547262794322,5.2,5.585696017507577
0.5,Top80,592.0,6.041522986797286,592.0,6.041522986797286,44.2,6.723094525588643,6.6,3.3615472627943226,0.0,0.0,0.2,0.447213595499958,2.8,1.6431676725154984,6.2,3.1144823004794873
0.5,Top90,592.4,8.820430828479976,592.4,8.820430828479976,45.2,8.136338242723197,5.8,3.1144823004794873,0.0,0.0,0.0,0.0,2.2,1.9235384061671346,5.4,2.9664793948382653
0.6,Top10,524.8,97.0268004213269,524.8,97.0268004213269,48.0,10.464224768228174,35.6,23.082460874005616,3.8,2.16794833886788,16.8,10.425929215182693,28.0,19.27433526739638,35.0,22.53885533916929
0.6,Top100,597.4,7.021395872616784,597.4,7.021395872616784,48.4,5.458937625582473,11.4,5.9833101206606365,0.0,0.0,1.2,0.8366600265340756,6.4,3.847076812334269,11.0,5.477225575051661
0.6,Top120,597.8,7.791020472312973,597.8,7.791020472312973,50.6,7.829431652425353,14.4,4.560701700396552,0.0,0.0,1.6,2.073644135332772,9.2,4.08656334834051,13.8,4.43846820423443
0.6,Top130,599.4,7.30068489937759,599.4,7.30068489937759,50.6,7.956129712366434,14.4,4.159326868617084,0.0,0.0,2.6,1.6733200530681511,9.2,3.271085446759226,13.8,3.8987177379235853
0.6,Top140,598.2,7.726577508832743,598.2,7.726577508832743,50.8,7.1902712048990205,13.4,4.61519230368573,0.0,0.0,1.6,2.3021728866442674,8.4,3.646916505762094,13.0,4.183300132670378
0.6,Top15,438.2,88.27343881372245,438.2,88.27343881372245,40.8,10.134100848126588,16.0,18.774983355518586,1.8,2.3874672772626644,7.6,10.502380682492898,11.6,16.607227342335023,15.8,18.335757415498275
