threshold,topN,train_MCC,train_MCC_std,val_MCC,val_MCC_std,test_MCC,test_MCC_std,ext_MCC,ext_MCC_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.85,Top50,0.9875801851210492,0.0025417247213557,0.9875801851210492,0.0025417247213557,0.7180497378568887,0.0491157069911905,0.5692612062503247,0.0621542786823842,-0.3673308123906871,0.1679421965190776,0.2511789682274103,0.1839004525583449,0.4845937029524255,0.0785845764012658,0.5658663378940423,0.0624307664522187
0.8,Top20,0.9537375769587731,0.006763923575052,0.9537375769587731,0.006763923575052,0.7361489319022552,0.04232148261773,0.5689333364460653,0.0516424516606899,-0.3832711615927678,0.1763679456632103,0.3303565204610565,0.0741698374964082,0.511633348067823,0.0622225971830622,0.5695692651680826,0.0541411490063099
0.8,Top30,0.9714011080117118,0.0065244196004112,0.9714011080117118,0.0065244196004112,0.7220171103558636,0.0436898276413877,0.5586884258699844,0.0570019991319418,-0.3832711615927678,0.1763679456632103,0.2614486341182168,0.1283012955946247,0.4925271545611823,0.0650293066506803,0.5570305222513532,0.0578769236335748
0.85,Top80,0.9893322778631992,0.0026488040939224,0.9893322778631992,0.0026488040939224,0.7274501543672335,0.0463589013188176,0.5515231787093671,0.0307195829640713,-0.5715393919080303,0.1423019077285235,0.1898570122639898,0.1230457721288773,0.4416962269100691,0.0435671640911388,0.5464501440387295,0.0302025895933053
0.9,Top140,0.9887123600060524,0.0017015799092657,0.9887123600060524,0.0017015799092657,0.7358144304171822,0.0425054912767307,0.5502068765002165,0.0520257687615869,-0.5715393919080303,0.1423019077285235,0.1936040161608928,0.1363444337780023,0.4424729835632914,0.0564398390503659,0.5458299084798532,0.0492918159012469
0.8,Top25,0.9641884255148032,0.0105553389019484,0.9641884255148032,0.0105553389019484,0.7256370888933732,0.0423199043597676,0.5487724608721198,0.0655586135884707,-0.3832711615927678,0.1763679456632103,0.2615331767351847,0.1282251087989986,0.4813056507961978,0.0737052150728816,0.5492435662369062,0.0665553333556975
0.85,Top60,0.9892681428612488,0.0022418427829759,0.9892681428612488,0.0022418427829759,0.7130474267764948,0.0569886480469967,0.5469310230535056,0.0550591758716286,-0.5169319414477733,0.0694370727128193,0.1990570162643971,0.1657402795334313,0.4474206237780539,0.0631654953154784,0.542689158664828,0.0548972768817695
0.85,Top90,0.9930813881368552,0.0045070515234863,0.9930813881368552,0.0045070515234863,0.7256980784471307,0.050046924347669,0.5360406711392149,0.0416033303426013,-0.5894194384511021,0.1345803081841345,0.1196387465201394,0.1394925279796472,0.4359781355244871,0.0526796754275766,0.5350041187632579,0.0413576277706785
0.85,Top130,0.9914098633235922,0.0026664267690043,0.9914098633235922,0.0026664267690043,0.7299364766398189,0.0432433507737686,0.5355797924570151,0.0641317136961087,-0.5536593453649585,0.1469304814341183,0.1845188960082761,0.1758920425577466,0.4389575080464722,0.0817309633447656,0.5340438081564935,0.0635031454654375
0.85,Top70,0.9909770752782237,0.0035620715141566,0.9909770752782237,0.0035620715141566,0.7117577201931578,0.0540329619907426,0.532782271963814,0.0453169141620474,-0.6317313512008411,0.1420985360060702,0.1375168173336857,0.1376327737453602,0.4168510368284462,0.0496695308351731,0.5253131180212878,0.0412993521366106
0.85,Top120,0.9922267237162418,0.0029804403834651,0.9922267237162418,0.0029804403834651,0.7307825784505533,0.0514810626074966,0.5269948240322824,0.0428895805991365,-0.5715393919080303,0.1423019077285235,0.1602213178930124,0.1600129293711714,0.4281656515246246,0.0515869753450519,0.5256430275458287,0.0373518349975113
0.85,Top100,0.993476343172098,0.0030223500758341,0.993476343172098,0.0030223500758341,0.7344081571344059,0.0460253766888536,0.5267826696193992,0.0424085666206642,-0.5926953482828998,0.1509802704313614,0.1535388859099772,0.1106105562700753,0.4266367976812675,0.0464115957549578,0.5224821528933485,0.041925034927503
0.8,Top80,0.994536385769387,0.0019791440385466,0.994536385769387,0.0019791440385466,0.7176409261897356,0.0480646364070592,0.5074691557510422,0.035242423770918,-0.6762847037166635,0.1454506523042218,0.0827974062238533,0.1364587683104242,0.3963717300690638,0.0471419086774671,0.5032204859362418,0.0349818773095889
0.85,Top140,0.9909731843334044,0.003808655795918,0.9909731843334044,0.003808655795918,0.7379473178919642,0.0454573010442236,0.504006476595636,0.0660566567554901,-0.6372487007987222,0.1676511329434176,0.1102319334406475,0.1508388727494945,0.3892990496278949,0.0768062508996338,0.4978823241719422,0.0620480820230525
0.8,Top90,0.9951605847341572,0.0035102671415461,0.9951605847341572,0.0035102671415461,0.7150290115020992,0.0585535313946564,0.5011780061141207,0.0482762167177637,-0.6941647502597353,0.1197321637560923,0.0485224258320378,0.1375518737376818,0.3997263788475783,0.0637878502991333,0.4991383468531675,0.0483053014491613
0.8,Top50,0.982852177266934,0.0102086589443738,0.982852177266934,0.0102086589443738,0.7059145920033105,0.0586836184813894,0.4940823387489767,0.0648980400039669,-0.4759562411888408,0.1078389944419406,0.1480853329969243,0.1661070012413943,0.4063057255720541,0.0666602474207578,0.4924311238815262,0.0629228646870703
0.7,Top15,0.9011485727068984,0.0481627377746324,0.9011485727068984,0.0481627377746324,0.7161510807154736,0.0437085452780614,0.4919827601235288,0.1080384257599269,0.0219076839161592,0.3949198842298295,0.3431327732695784,0.1800539271899376,0.4303299458596886,0.1183932707878401,0.4899233544134288,0.1083372350845428
0.8,Top130,0.9932729046400924,0.0029893323191095,0.9932729046400924,0.0029893323191095,0.7020893764895867,0.0519674211182457,0.4855240392273584,0.0453421261047825,-0.5014711402905243,0.0302341072639842,0.1531529253496737,0.1209757428678376,0.38567309966105,0.0461866485411505,0.4802179047116712,0.0446552745964062
0.8,Top120,0.9943162614731575,0.0026209947120185,0.9943162614731575,0.0026209947120185,0.7050984238235121,0.0637622689962019,0.4833079146040213,0.0471766654413164,-0.6886474006618543,0.0848878492605944,0.0912812767056171,0.123888803604259,0.3853100087139366,0.0430453108947264,0.4801106305834824,0.0433236156983188
0.8,Top40,0.9775418102396152,0.0089729971647243,0.9775418102396152,0.0089729971647243,0.7143146975605849,0.0498554572868141,0.4832221793361074,0.0343654907276581,-0.4962637478591135,0.2018463052839082,0.1366050977933885,0.058509372147626,0.4048644712192991,0.0370976412813105,0.4789427272104511,0.033638314085679
0.8,Top70,0.9930385546032016,0.0030590716733257,0.9930385546032016,0.0030590716733257,0.7252107575799487,0.0563338485211468,0.4784200390279182,0.0516688201847298,-0.6452524550170989,0.1274593659523631,0.059787387718088,0.1306901137607961,0.367776568458067,0.0678821034198894,0.4730180370711979,0.0510775189527673
0.8,Top60,0.9856620134378656,0.0056584001698102,0.9856620134378656,0.0056584001698102,0.7160251840626429,0.0577462551267829,0.4769187183822415,0.0718915943912682,-0.5675493508409813,0.0709339525328567,0.0766733686355976,0.167165054804292,0.3723091562064887,0.0779691772074631,0.472802543855851,0.0706883428036056
