model,feat,train_roc,train_roc_std,val_roc,val_roc_std,test_roc,test_roc_std,ext_roc,ext_roc_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,MHFP6,0.9971657076781956,0.0059112609353154,0.9971657076781956,0.0059112609353154,0.9248483518012078,0.026132911384546,0.8094656637686821,0.0223788200738452,0.1851851851851851,0.074074074074074,0.6,0.0446593756538872,0.6632018779342723,0.0312589165523782,0.7840749033177284,0.0239960127135337
log,PharmacoErGFP,0.9317905357934788,0.0037399098301084,0.9317905357934788,0.0037399098301084,0.8935283939883633,0.0408210424387212,0.8093907720360782,0.0133197665604979,0.1777777777777777,0.0309874083901509,0.628,0.0417126431473474,0.6885446009389672,0.0152880171234192,0.7860899653979238,0.0138263175069925
log,MorganFP,0.9932860978682,0.0006801587281699,0.9932860978682,0.0006801587281699,0.9235393880095542,0.0246821147541171,0.8090195695353456,0.0217356015616743,0.1259259259259259,0.0721984766282145,0.4503157894736843,0.0934930041674501,0.6701784037558686,0.0389227984649141,0.7851007531040098,0.0266441933737651
rf,Constitution,0.9973146038116132,0.0001754421703187,0.9973146038116132,0.0001754421703187,0.9205211393032232,0.0195609854558171,0.8081599426915437,0.0055816643466967,0.1037037037037037,0.0165634664999984,0.2748421052631579,0.0310267510348472,0.579830985915493,0.012028568489956,0.776067575819255,0.0059648879229373
log,Autocorr,0.9549886089517386,0.0043888097647047,0.9549886089517386,0.0043888097647047,0.894666934339296,0.0360308134290146,0.8066328025788805,0.0223529552723014,0.6222222222222222,0.1705313249366124,0.5917894736842105,0.0785089581493429,0.6698967136150235,0.0395464934871209,0.7801058416446163,0.0243514293456747
xgb,RDkitFP,0.9998036217969422,4.1985925627760975e-05,0.9998036217969422,4.1985925627760975e-05,0.942590606016449,0.0230149806470345,0.8062029891569795,0.0193964793605705,0.1111111111111111,0.0,0.4252631578947368,0.0716679013829947,0.6554084507042254,0.0311325736858613,0.7844249949114593,0.0222488983722955
DMPNN,MorganFP,0.9988512384209384,0.0006588842948807,0.9988512384209384,0.0006588842948807,0.919592560765758,0.028819974801985,0.8049916967861679,0.0152929293885167,0.3555555555555555,0.0398136185101162,0.572,0.0423536533051374,0.6946854460093898,0.0325415660258141,0.7800569916547934,0.0177833027910095
xgb,PharmacoPFP,0.988099045156072,0.0006325654434008,0.988099045156072,0.0006325654434008,0.9135489515058272,0.0270729475045145,0.8031584774185145,0.0239687320212121,0.0666666666666666,0.0165634664999984,0.5446315789473685,0.1219749758632569,0.6639530516431925,0.0586263965832479,0.7816120496641563,0.0309363369366566
xgb,Topology,0.996848754944339,0.0003544712027022,0.996848754944339,0.0003544712027022,0.8780187723704481,0.0296891738442048,0.8024746833382176,0.0161372599117702,0.1999999999999999,0.1325077319999875,0.609157894736842,0.0493245231832769,0.6527981220657277,0.0273056381577345,0.7763281090983106,0.0169655515226137
rf,Estate,0.9988275217564254,9.952469454983624e-05,0.9988275217564254,9.952469454983624e-05,0.9293982163580484,0.0136364711503923,0.8004916805053564,0.0110318110330518,0.1259259259259259,0.0331269329999968,0.3814736842105263,0.0340977899544588,0.5851830985915493,0.014438570042694,0.7668512110726644,0.01126082516249
