model,feat,train_TN,train_TN_std,val_TN,val_TN_std,test_TN,test_TN_std,ext_TN,ext_TN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
rf,Topology,599.8,7.190271204899014,599.8,7.190271204899014,46.8,5.449770637375485,24.2,1.9235384061671343,1.0,0.0,1.2,0.4472135954999579,13.8,0.8366600265340755,23.4,1.5165750888103098
DMPNN,Fragment,514.0,20.34152840318981,514.0,20.34152840318981,55.4,6.168017869984201,23.8,5.593647190240809,1.2,0.4216370213557839,5.2,2.616188916046477,16.8,5.865151319446072,23.6,5.561774297230456
rf,PubChemFP,596.8,6.22093240599831,596.8,6.22093240599831,53.2,7.463243262818115,23.8,5.585696017507576,0.8,0.4472135954999579,0.8,0.4472135954999579,13.6,5.594640292279746,23.0,5.522680508593631
rf,Fragment,575.2,7.120393247567151,575.2,7.120393247567151,52.8,7.085195833567341,23.6,3.2093613071762426,1.0,0.0,3.6,1.140175425099138,15.4,2.701851217221259,22.8,3.271085446759225
rf,Path,601.0,7.681145747868611,601.0,7.681145747868611,42.8,4.549725266430931,23.0,2.549509756796392,0.0,0.0,0.0,0.0,16.6,1.51657508881031,22.2,2.4899799195977463
rf,RDkitFP,602.8,6.906518659932794,602.8,6.906518659932794,54.4,7.700649323271382,22.4,2.5099800796022262,1.0,0.0,1.0,0.0,11.8,2.1679483388678804,21.6,2.190890230020665
xgb,Kappa,541.8,9.093954035511732,541.8,9.093954035511732,42.4,5.683308895353129,22.0,3.3166247903554,1.2,0.4472135954999579,4.8,0.8366600265340757,15.4,2.5099800796022267,21.2,2.774887385102321
svm,RDkitFP,590.4,7.829431652425344,590.4,7.829431652425344,50.2,5.761944116355173,21.8,3.3466401061363023,1.0,0.0,2.8,1.6431676725154984,15.2,3.492849839314596,20.8,2.7748873851023217
svm,Charge,190.2,21.637929660667627,190.2,21.637929660667627,24.8,4.43846820423443,21.8,1.6431676725154984,1.0,0.0,2.0,0.0,18.4,1.1401754250991376,21.8,1.6431676725154984
fcnn,AvalonFP,524.4,10.945318634009714,524.4,10.945318634009714,56.0,7.778174593052023,21.4,7.861297602813418,0.4,0.5477225575051661,1.2,0.8366600265340756,11.6,7.668115805072325,21.2,7.981227975693966
log,TorsionFP,562.0,9.848857801796102,562.0,9.848857801796102,65.0,6.324555320336759,21.0,1.5811388300841898,0.4,0.5477225575051662,4.2,1.7888543819998317,10.4,1.949358868961793,19.6,1.8165902124584947
svm,InfoContent,170.2,27.725439581727105,170.2,27.725439581727105,22.6,4.505552130427524,20.2,3.271085446759225,1.0,0.0,1.6,0.5477225575051661,15.2,1.6431676725154984,20.2,3.271085446759225
rf,Estate,598.4,6.465291950097847,598.4,6.465291950097847,55.0,4.415880433163924,19.4,4.03732584763727,1.0,0.0,1.6,0.8944271909999159,10.4,2.9664793948382653,18.6,3.6469165057620954
