model,feat,train_FN,train_FN_std,val_FN,val_FN_std,test_FN,test_FN_std,ext_FN,ext_FN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,Connectivity,4.2,1.9235384061671343,4.2,1.9235384061671343,14.2,4.658325879540847,25.4,4.219004621945797,2.4,0.5477225575051661,4.6,0.894427190999916,23.4,2.6076809620810595,24.8,3.3466401061363027
xgb,InfoContent,8.8,2.4899799195977463,8.8,2.4899799195977463,21.0,4.06201920231798,24.8,5.674504383644443,2.0,0.7071067811865476,5.6,1.51657508881031,18.6,5.319774431308154,22.2,6.3796551630946325
DMPNN,TorsionFP,29.8,19.98221431395652,29.8,19.98221431395652,15.6,5.561774297230456,24.8,15.281070352272812,1.6,0.8432740427115678,5.2,3.9101008796307135,20.0,11.737877907772672,24.2,14.838388651662209
rf,Property,29.6,3.2863353450309964,29.6,3.2863353450309964,20.6,6.107372593840988,24.4,4.449719092257398,2.0,0.0,4.0,1.7320508075688772,22.8,4.969909455915671,23.2,5.167204273105526
xgb,PubChemFP,24.6,1.673320053068151,24.6,1.673320053068151,14.8,4.08656334834051,24.2,10.232301793829189,2.0,0.0,4.0,1.0,22.0,10.04987562112089,23.6,10.014988766843423
rf,Kappa,59.6,7.893034904268447,59.6,7.893034904268447,23.8,4.324349662087931,23.6,4.159326868617085,2.8,0.447213595499958,4.8,0.8366600265340756,20.6,4.277849927241488,21.6,4.393176527297759
DMPNN,MorganFP,10.0,4.714045207910317,10.0,4.714045207910317,13.8,2.5298221281347035,21.4,4.74224513167433,1.6,0.5163977794943222,5.6,1.07496769977314,16.8,3.73571352696584,19.8,4.541169697580373
xgb,MACCSFP,26.8,3.563705936241092,26.8,3.563705936241092,15.6,2.8809720581775866,21.2,4.764451699828639,2.0,0.0,4.8,1.4832396974191326,14.8,5.890670590009257,20.0,5.3385391260156565
DMPNN,Constitution,25.2,14.853357271075865,25.2,14.853357271075865,14.0,2.4037008503093262,21.2,9.461031186456957,1.6,0.5163977794943222,5.4,2.547329756605707,20.8,9.126274644612057,21.2,9.461031186456957
svm,RDkitFP,2.8,0.8366600265340756,2.8,0.8366600265340756,13.8,2.949576240750525,21.2,4.024922359499622,2.2,0.447213595499958,6.2,3.7013511046643495,17.0,4.847679857416329,20.0,3.605551275463989
fcnn,Constitution,81.8,9.257429448826494,81.8,9.257429448826494,13.8,2.774887385102321,20.8,7.259476565152614,2.0,0.0,4.4,1.1401754250991378,19.8,6.496152707564685,20.6,7.05691150575094
fcnn,InfoContent,107.2,11.054410884348382,107.2,11.054410884348382,15.6,2.4083189157584592,20.4,2.190890230020665,1.0,0.0,2.6,0.8944271909999159,19.4,2.190890230020665,20.4,2.190890230020665
DMPNN,Charge,32.6,8.527081042837057,32.6,8.527081042837057,14.2,2.440400695696417,20.4,13.91402170474087,1.4,0.5163977794943222,3.0,0.9428090415820634,19.8,13.456101466125569,20.4,13.91402170474087
xgb,MorganFP,18.2,2.588435821108957,18.2,2.588435821108957,13.4,3.361547262794322,20.4,5.549774770204643,1.0,0.0,3.0,1.0,18.8,4.147288270665544,20.0,5.0990195135927845
svm,PharmacoPFP,53.6,4.219004621945798,53.6,4.219004621945798,9.2,1.6431676725154984,20.2,9.731392500562292,2.8,0.4472135954999578,4.6,1.1401754250991385,16.4,5.770615218501403,19.6,8.532291603080617
rf,Matrix,27.4,4.929503017546495,27.4,4.929503017546495,18.8,3.3466401061363023,20.0,5.787918451395113,2.0,0.0,3.6,0.8944271909999159,16.2,6.099180272790763,18.2,6.099180272790763
fcnn,AvalonFP,28.8,4.43846820423443,28.8,4.43846820423443,12.6,4.03732584763727,19.4,6.542170893518451,0.0,0.0,3.2,1.0954451150103324,18.8,6.418722614352485,19.2,6.760177512462229
DMPNN,MHFP6,8.6,17.095808453146248,8.6,17.095808453146248,15.4,4.6475800154489,19.2,6.124631508189787,2.6,0.5163977794943222,3.2,0.4216370213557839,16.0,5.92546294487706,18.6,6.275171533733382
log,RDkitFP,31.2,2.4899799195977463,31.2,2.4899799195977463,19.4,2.40831891575846,18.2,5.11859355682789,2.6,0.5477225575051661,5.2,1.6431676725154984,11.6,3.286335345030997,16.0,4.8476798574163285
fcnn,Property,117.8,8.757853618324527,117.8,8.757853618324527,15.6,3.361547262794322,17.8,2.04939015319192,2.0,0.0,8.0,0.7071067811865477,17.8,2.04939015319192,17.8,2.04939015319192
DMPNN,PharmacoPFP,27.8,18.004937594387204,27.8,18.004937594387204,13.6,4.695151163109069,17.4,10.276186062932103,3.0,0.0,5.8,2.859681411936962,16.0,9.545214042184236,16.4,9.535897091167318
rf,Topology,28.8,3.492849839314596,28.8,3.492849839314596,19.4,8.17312669668102,16.8,3.1144823004794877,2.8,0.447213595499958,4.0,0.7071067811865476,12.4,3.646916505762094,15.8,3.5637059362410923
DMPNN,Kappa,49.6,19.8952814059571,49.6,19.8952814059571,15.6,4.695151163109069,16.6,4.141926551202418,2.0,0.0,4.4,1.429840705968481,15.4,4.29987079909256,16.4,4.247875285886398
DMPNN,Matrix,46.8,22.797660698706203,46.8,22.797660698706203,14.6,3.627058802329452,16.6,9.901739465591106,1.8,0.4216370213557839,4.0,1.3333333333333333,15.4,8.859395514869448,16.6,9.901739465591106
fcnn,AtomPairFP,23.8,5.540758070878027,23.8,5.540758070878027,11.4,2.073644135332772,16.6,5.319774431308154,2.0,0.0,4.0,2.0,16.4,5.504543577809154,16.6,5.319774431308154
