model,feat,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,MHFP6,1.0,0.0,1.0,0.0,0.8429856329991828,0.0221274308917421,0.6316897021244847,0.081356251498383,0.375,0.4787135538781691,0.8800000000000001,0.1780277437677072,0.5682109968407609,0.119838652528555,0.6343604108309991,0.0857696748753788
DMPNN,Estate,0.9592078824258288,0.0218850166808673,0.9592078824258288,0.0218850166808673,0.8124897315167301,0.0532229811438523,0.6307563819133458,0.0637206366816907,0.5766666666666667,0.1421180173806176,0.7572712418300653,0.0511869569877949,0.5809586294878805,0.0692000618292274,0.6326745404811207,0.0645597858667818
svm,MorganFP,0.982134716351621,0.0032743515673054,0.982134716351621,0.0032743515673054,0.8195947759590656,0.0238307679916187,0.6307487177699944,0.0507556892184851,0.35,0.1369306393762915,0.5507142857142856,0.1607971567646106,0.6161818181818182,0.0536087927768716,0.6453230084304253,0.0515156149533483
DMPNN,PharmacoPFP,0.950643018076796,0.0328724020464554,0.950643018076796,0.0328724020464554,0.8141388475613512,0.0516971325112858,0.6273257575757576,0.1560914119181597,0.31,0.0774596669241483,0.4766666666666667,0.1821002301677856,0.5686008918617614,0.1761552996039416,0.6381502555903411,0.1499948600860148
xgb,PubChemFP,0.9572084610603786,0.0029806715260028,0.9572084610603786,0.0029806715260028,0.793955740555582,0.0475525092834054,0.6168301011755748,0.0801513457819301,0.3333333333333333,0.0,0.4781746031746031,0.1615084240076882,0.5594953132768259,0.0803187603171182,0.6203926911923977,0.0809950000343865
xgb,MAP4,0.9929891325033068,0.0024723673485985,0.9929891325033068,0.0024723673485985,0.8102702702702704,0.0229650224716194,0.615361499176972,0.0559544305745066,0.6161904761904762,0.062415475724994,0.7532051282051282,0.0404856737638812,0.5697742362985131,0.0505237885592508,0.6183798184835559,0.0557960939687615
svm,EstateFP,0.7121775104158179,0.120194577371261,0.7121775104158179,0.120194577371261,0.6836363636363636,0.1347480047844435,0.6133333333333333,0.0298142396999972,1.0,0.0,1.0,0.0,1.0,0.0,0.6133333333333333,0.0298142396999972
DMPNN,MorganFP,0.983246058606797,0.0077229804656549,0.983246058606797,0.0077229804656549,0.795692649843496,0.0406754715310981,0.6092550828240901,0.0551130286395699,0.5833333333333333,0.1111111111111111,0.5749851455733809,0.0904558774551367,0.5961180411180411,0.0602856622260011,0.6204009142662682,0.0583849691151698
DMPNN,MHFP6,0.9855319362782048,0.0287851411100861,0.9855319362782048,0.0287851411100861,0.7753262594777321,0.0615474712593248,0.5982107485143761,0.0791522337994589,0.52,0.0788810637746615,0.7972899159663865,0.021720020532957,0.553654258946041,0.0869366698595832,0.6000854700854701,0.0851305697295898
log,AtomPairFP,0.8998097367324466,0.005210019170298,0.8998097367324466,0.005210019170298,0.7245019756936195,0.0261048227639388,0.5981154912726295,0.0508245724637595,0.8036363636363637,0.0081311562818174,0.7898349564139038,0.0373659001087657,0.6050732623693179,0.0667477879419774,0.6028425437754302,0.0517736352640489
fcnn,Property,0.6741350181658692,0.0096691909436974,0.6741350181658692,0.0096691909436974,0.670393290781344,0.0280310131820534,0.5980952380952381,0.0170367083999984,0.3333333333333333,0.0,0.2736363636363636,0.017721444263289,0.4948044965786901,0.0156504617660635,0.5980952380952381,0.0170367083999984
fcnn,Matrix,0.6472062586808082,0.0263626560745022,0.6472062586808082,0.0263626560745022,0.6553749490004079,0.0209418802087755,0.5966183574879228,0.0363022665825824,0.3333333333333333,0.0,0.42,0.0447213595499957,0.4121794871794871,0.0515617373133082,0.6224992398905442,0.0392722009171758
svm,AtomPairFP,0.9915070877398556,0.0036215360110047,0.9915070877398556,0.0036215360110047,0.7949484823169033,0.0272668431490895,0.5947814090284631,0.0509820779341797,0.7654545454545454,0.0943031203746551,0.786236881701998,0.0606784527281362,0.5855027271791705,0.0521535870437914,0.602489342422108,0.05527136757885
DMPNN,PharmacoErGFP,0.9007936950375296,0.030003563201427,0.9007936950375296,0.030003563201427,0.8055322987856721,0.0357446848297584,0.5932690933234885,0.0205895074182045,0.8242063492063492,0.042319774324774,0.8854477558037068,0.0161909703505527,0.5826194646376236,0.026960626598528,0.5989475453437257,0.022356541990863
rf,Topology,0.954197792393402,0.0053926402482302,0.954197792393402,0.0053926402482302,0.7144606967543894,0.0693121006402733,0.5919757727652465,0.0590476388457433,0.2666666666666666,0.0372677996249964,0.2333333333333333,0.0942809041582063,0.5349908775770845,0.0797289781581789,0.6000963754452127,0.0674045703792285
rf,Property,0.9530089806729776,0.0051116733362932,0.9530089806729776,0.0051116733362932,0.7036716450770669,0.052162672365275,0.5885617447686414,0.0493793310703835,0.3333333333333333,0.0,0.5676190476190477,0.0872278729194915,0.5247513792610925,0.0562002882392648,0.5962189534603327,0.0563703027063659
xgb,TorsionFP,0.9509883821095452,0.0030529051626411,0.9509883821095452,0.0030529051626411,0.8148501352711774,0.0529418434579157,0.5870952672185219,0.036600542726981,0.3633333333333333,0.2534210374499762,0.6410880945679708,0.0980142451435255,0.5596848556893422,0.0502223858742283,0.5882928827444956,0.0372645316714738
log,MorganFP,0.8463844329023551,0.0104246331885801,0.8463844329023551,0.0104246331885801,0.6910727162863004,0.0215590233538505,0.5859923219123583,0.0498666953924601,0.3533333333333333,0.1440486029088793,0.5898809523809524,0.1177082392691214,0.5654564703294286,0.0416705339581327,0.5876455900613584,0.0496427811997244
xgb,Estate,0.965221725902684,0.0019433026383621,0.965221725902684,0.0019433026383621,0.7782339726743339,0.0436230009711404,0.5812048587377534,0.0400449826820466,0.5,0.2886751345948129,0.4799299719887955,0.0955543131444527,0.5235262160592976,0.042093947984609,0.5850227311517634,0.0454868242633925
log,RDkitFP,0.9509607116747502,0.003822489439531,0.9509607116747502,0.003822489439531,0.7549523809523809,0.0225777679575746,0.5789144384241516,0.0772245126833706,0.2833333333333333,0.0456435464587638,0.2402380952380952,0.1210088450881552,0.5792485099441621,0.0608454870160273,0.5926267281105991,0.0806133358313069
fcnn,Constitution,0.8240337638691353,0.0122199684466259,0.8240337638691353,0.0122199684466259,0.7663731303903714,0.0434242345037156,0.5759441485360055,0.0667157591007338,0.3333333333333333,0.0,0.5111111111111111,0.0248451997499976,0.5066741449381335,0.0422646776768124,0.5778309409888357,0.063765707895787
xgb,InfoContent,0.985263957397112,0.0041405479468305,0.985263957397112,0.0041405479468305,0.6971767363071711,0.0429419964812905,0.5723590194995276,0.0526629003071165,0.5566666666666666,0.1534781924429512,0.3789321789321789,0.1519015207027925,0.5664818920916482,0.0686368155951294,0.5988692439635835,0.065952513948295
