model,feat,train_SP,train_SP_std,val_SP,val_SP_std,test_SP,test_SP_std,ext_SP,ext_SP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,PharmacoErGFP,0.7858345251973803,0.0084096931689634,0.7858345251973803,0.0084096931689634,0.6911731601731602,0.0684090222517737,0.4758620689655172,0.0299733443917363,0.2222222222222222,0.0785674201318386,0.2210526315789473,0.114102544150941,0.4507042253521127,0.0298777513177414,0.4847058823529411,0.0268276570611562
xgb,TorsionFP,0.8891230744893633,0.0055525248694805,0.8891230744893633,0.0055525248694805,0.7258008658008659,0.0641976819374933,0.4712643678160919,0.0624297729379322,0.2222222222222222,0.1756820922315766,0.3526315789473684,0.1012388634824807,0.428169014084507,0.075585396422528,0.4776470588235294,0.0625855815448018
DMPNN,Constitution,0.8594956724948151,0.0744039362987512,0.8594956724948151,0.0744039362987512,0.7217965367965368,0.0570013223798085,0.464367816091954,0.0868980383284894,0.2,0.1365858438117465,0.2421052631578946,0.1087153219988047,0.4197183098591549,0.0936145996665879,0.4729411764705882,0.0842544251105617
log,MHFP6,1.0,0.0,1.0,0.0,0.7060844155844156,0.05546817351156,0.464367816091954,0.048494305999377,0.3555555555555555,0.0929622251704528,0.463157894736842,0.0605834970169544,0.4450704225352112,0.0405770712419378,0.4611764705882352,0.0508747019069168
DMPNN,Path,0.8064930539729345,0.0472031004455494,0.8064930539729345,0.0472031004455494,0.6868831168831169,0.0679110636815101,0.4528735632183908,0.0958926602970768,0.4444444444444445,0.2095131203515696,0.4105263157894736,0.1669895303058357,0.4366197183098591,0.121341295618029,0.4611764705882352,0.0961864139090565
DMPNN,Connectivity,0.8357643280087945,0.0455510838044159,0.8357643280087945,0.0455510838044159,0.7262294372294372,0.0999536407973836,0.4482758620689654,0.1169681036204884,0.311111111111111,0.172132593164774,0.2894736842105262,0.1636382290015581,0.4112676056338028,0.1358747415129369,0.4517647058823529,0.1175424371409207
DMPNN,MACCSFP,0.9059680819437744,0.0384834131426594,0.9059680819437744,0.0384834131426594,0.7172792207792208,0.0799419594338259,0.4482758620689654,0.0981321722211931,0.1333333333333333,0.0468485579284204,0.2842105263157893,0.0901419830081763,0.4112676056338028,0.1100636113584421,0.4541176470588235,0.0990846224147686
log,Property,0.746662521578465,0.0088879094125648,0.746662521578465,0.0088879094125648,0.7336536796536797,0.0563077305680965,0.4413793103448276,0.0154211584655158,0.1111111111111111,0.0,0.1105263157894736,0.0117687788289462,0.4,0.018896349105632,0.4517647058823529,0.0157840092529396
log,MorganFP,0.9769160648462314,0.0037906396153104,0.9769160648462314,0.0037906396153104,0.8032424242424241,0.0711142078747007,0.4275862068965517,0.0348637951450646,0.1555555555555555,0.0993807989999906,0.2052631578947368,0.0919171010345946,0.4,0.0462864133102957,0.428235294117647,0.0377571918491322
DMPNN,RDkitFP,0.966905794182999,0.0153000915749007,0.966905794182999,0.0153000915749007,0.7802337662337663,0.0815379612340495,0.425287356321839,0.0076628352490421,0.1111111111111111,0.0,0.0578947368421052,0.0110957110883101,0.3605633802816901,0.0118770991931206,0.416470588235294,0.0060752679940508
xgb,PubChemFP,0.9079052118491396,0.0118201723450878,0.9079052118491396,0.0118201723450878,0.7237272727272728,0.0581837273895677,0.425287356321839,0.0314783079025957,0.1111111111111111,0.0,0.1157894736842104,0.0780652472325859,0.3690140845070422,0.0364568425508304,0.4305882352941176,0.0317864849084853
svm,AvalonFP,0.8825540589794636,0.0127680890533826,0.8825540589794636,0.0127680890533826,0.6564502164502165,0.0492458825672997,0.425287356321839,0.1251237991786048,0.1111111111111111,0.0785674201318386,0.1421052631578946,0.0734960002303628,0.4140845070422535,0.1472487891682831,0.4329411764705882,0.1289832477521482
svm,Autocorr,0.720914951706536,0.0217810385902425,0.720914951706536,0.0217810385902425,0.6302705627705627,0.1013790837834601,0.4206896551724138,0.070199684986678,0.2,0.0929622251704528,0.3421052631578947,0.0852729039264192,0.3887323943661971,0.0742615567688116,0.4305882352941176,0.0718514422804822
svm,PharmacoErGFP,0.5892412586262579,0.0251993033346972,0.5892412586262579,0.0251993033346972,0.5263354978354978,0.0631353056045336,0.4206896551724137,0.0102807723103438,0.1111111111111111,0.0,0.0736842105263157,0.0220173691193177,0.3633802816901408,0.0117839440356911,0.4305882352941176,0.0105226728352931
xgb,Fragment,0.7267424038074011,0.0211599542079294,0.7267424038074011,0.0211599542079294,0.5854718614718615,0.0766590373641296,0.4183908045977011,0.0192335638283695,0.1111111111111111,0.0,0.1789473684210525,0.0220173691193177,0.3943661971830985,0.028169014084507,0.428235294117647,0.01968611827139
svm,MACCSFP,0.5432766426051663,0.0213314841112207,0.5432766426051663,0.0213314841112207,0.5153030303030303,0.0739979472779181,0.4183908045977011,0.0154211584655158,0.1111111111111111,0.0,0.1157894736842104,0.0144137515132938,0.4112676056338028,0.0251951321408427,0.4164705882352941,0.0157840092529396
xgb,MACCSFP,0.8825306568397739,0.0082685593329837,0.8825306568397739,0.0082685593329837,0.7082467532467532,0.0569470523687245,0.4160919540229885,0.037598683296083,0.2888888888888888,0.0993807989999906,0.2999999999999999,0.0884617700735348,0.4028169014084507,0.0462864133102957,0.4258823529411764,0.0384833581971673
xgb,Estate,0.9066080675979766,0.0108965700830173,0.9066080675979766,0.0108965700830173,0.686051948051948,0.0342916224303018,0.4160919540229885,0.0149866721958681,0.1111111111111111,0.0,0.1526315789473683,0.0506194317412403,0.380281690140845,0.028169014084507,0.4211764705882353,0.0153392997769473
xgb,Charge,0.9749105511001674,0.0068126061223425,0.9749105511001674,0.0068126061223425,0.6681406926406926,0.0637672699048548,0.4160919540229885,0.0170487321542429,0.2,0.0929622251704528,0.1210526315789473,0.0300046164499773,0.3718309859154929,0.021360212518455,0.4117647058823529,0.0144087631928421
svm,Estate,0.5499183566938828,0.0133298462616717,0.5499183566938828,0.0133298462616717,0.5166147186147186,0.0615270954829698,0.4045977011494252,0.0149866721958681,0.1111111111111111,0.0,0.0947368421052631,0.0235375576578925,0.3774647887323943,0.0183639504371905,0.4141176470588235,0.0153392997769473
xgb,MOE,0.9791980218756088,0.0033206824065795,0.9791980218756088,0.0033206824065795,0.7268051948051948,0.0656564075605029,0.4022988505747126,0.0520424433226288,0.2444444444444444,0.1987615979999812,0.2052631578947368,0.1168017948482744,0.3605633802816901,0.0665110926936202,0.4070588235294117,0.0510105491498324
xgb,Property,0.955110357677336,0.0069819707450954,0.955110357677336,0.0069819707450954,0.6157792207792208,0.0643873291379628,0.4022988505747126,0.0257019307758596,0.1555555555555555,0.0993807989999906,0.1999999999999999,0.047805005591013,0.3605633802816901,0.0308576088735304,0.4070588235294117,0.0229336337524916
fcnn,Estate,0.6557179323109212,0.0420335394621925,0.6557179323109212,0.0420335394621925,0.5572251082251082,0.0504250416558728,0.4,0.0221096368524958,0.1111111111111111,0.0,0.0894736842105262,0.039909870758166,0.3661971830985915,0.0330310969001649,0.4094117647058823,0.0226298636019663
xgb,RDkitFP,0.975902259226204,0.0038668176422114,0.975902259226204,0.0038668176422114,0.7413484848484849,0.0580794112430957,0.3999999999999999,0.0318952573000266,0.1111111111111111,0.0,0.0526315789473684,0.0,0.3436619718309859,0.0353518321070736,0.4,0.0342997170285017
DMPNN,MOE,0.883458669184997,0.0567785826246599,0.883458669184997,0.0567785826246599,0.7468311688311688,0.0568376591824646,0.3977011494252873,0.041690331061258,0.1111111111111111,0.0,0.131578947368421,0.0944765755637632,0.3605633802816901,0.062000278006457,0.4023529411764706,0.0466650189196659
rf,Property,0.9901009093405276,0.002334543656167,0.9901009093405276,0.002334543656167,0.6170021645021645,0.0791687971117647,0.3977011494252873,0.0208803472696378,0.1111111111111111,0.0,0.131578947368421,0.0186080731891196,0.3492957746478873,0.0208906999636497,0.3976470588235294,0.0210453456705862
rf,EstateFP,0.8419268682604211,0.0105246527139413,0.8419268682604211,0.0105246527139413,0.723469696969697,0.0623768851698242,0.3954022988505746,0.0434659089682506,0.0888888888888888,0.0496903994999953,0.1052631578947368,0.0744322927564786,0.3521126760563379,0.0597555026354828,0.3929411764705882,0.0444886362380918
xgb,AvalonFP,0.9623915486827004,0.0075599456946842,0.9623915486827004,0.0075599456946842,0.7357294372294373,0.0731376952264344,0.3931034482758621,0.0884385474099832,0.1111111111111111,0.0,0.0526315789473684,0.0186080731891196,0.3408450704225351,0.0962498566944782,0.3976470588235294,0.0870111157040028
rf,MorganFP,0.9947206442339752,0.0013917188689792,0.9947206442339752,0.0013917188689792,0.6985151515151515,0.0761158344038668,0.3908045977011494,0.0406383207578475,0.1111111111111111,0.0,0.1105263157894736,0.0570512720754705,0.3464788732394366,0.0417813999272995,0.3905882352941175,0.0384833581971673
svm,Connectivity,0.38296985801607,0.0236970274599318,0.38296985801607,0.0236970274599318,0.3461883116883116,0.0437350560245001,0.3885057471264367,0.0742247553607491,0.4,0.0993807989999906,0.4210526315789473,0.113188490355824,0.4056338028169014,0.0853246829907659,0.3976470588235294,0.0759712201927667
DMPNN,PubChemFP,0.932540198153366,0.0609924228452837,0.932540198153366,0.0609924228452837,0.7159415584415585,0.0736258047632498,0.3862068965517241,0.0430757680384833,0.1111111111111111,0.0,0.1368421052631578,0.056577247356481,0.332394366197183,0.0393918816214141,0.3905882352941176,0.0402987688742435
xgb,Matrix,0.9775505574433838,0.0050706854108731,0.9775505574433838,0.0050706854108731,0.6388268398268397,0.045742082712144,0.3862068965517241,0.0899934672692569,0.2,0.213726489574126,0.1842105263157894,0.1924834057674709,0.3549295774647887,0.1097326827086335,0.3905882352941176,0.0905194544078651
rf,Autocorr,0.9947206442339752,0.0013917188689792,0.9947206442339752,0.0013917188689792,0.5799935064935064,0.061070997817485,0.3862068965517241,0.0478083548116906,0.4,0.1266861583443486,0.3684210526315789,0.0644602563890309,0.3577464788732393,0.0559848082094416,0.3858823529411764,0.0458672675049833
fcnn,PubChemFP,0.7578313726513725,0.0191923785841829,0.7578313726513725,0.0191923785841829,0.6700064935064936,0.0790617666142257,0.3839080459770115,0.041918580526001,0.1111111111111111,0.0,0.0578947368421052,0.0343115916063297,0.332394366197183,0.0493962758218314,0.388235294117647,0.0415945165403851
DMPNN,MorganFP,0.9661107286295924,0.0178096838418855,0.9661107286295924,0.0178096838418855,0.6921969696969696,0.0803346501835057,0.3770114942528735,0.0048464025443193,0.2444444444444444,0.0468485579284204,0.2105263157894736,0.0744322927564787,0.3436619718309859,0.0178156487896809,0.3741176470588235,0.0092801251499601
xgb,EstateFP,0.5370436880187196,0.0171348162794973,0.5370436880187196,0.0171348162794973,0.4942467532467532,0.0754309228532069,0.3770114942528735,0.0262109293126238,0.0888888888888888,0.0496903994999953,0.063157894736842,0.0235375576578925,0.3605633802816901,0.038054242496074,0.3858823529411764,0.0268276570611561
