model,feat,train_f1,train_f1_std,val_f1,val_f1_std,test_f1,test_f1_std,ext_f1,ext_f1_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,PharmacoErGFP,0.9408814057712334,0.0018915423551689,0.9408814057712334,0.0018915423551689,0.9283470731020228,0.0072178495437098,0.8919269001993781,0.0112508507474045,0.0363636363636363,0.0813115628181741,0.5677722330412204,0.0684788248583194,0.7748933708380712,0.023121098913718,0.8731778766138861,0.0134903758951464
DMPNN,RDkitFP,0.9901038790461336,0.0045331354201218,0.9901038790461336,0.0045331354201218,0.9375802076613688,0.0096673986921064,0.8918450081682264,0.0104898451243388,0.0,0.0,0.502347184582957,0.0168386796603505,0.7728096017229972,0.0271050425705605,0.8726879461653976,0.0131761774329584
fcnn,Constitution,0.9315088401907532,0.0019735858222135,0.9315088401907532,0.0019735858222135,0.9162330269789476,0.0132085413295315,0.8917370046937473,0.0083295969810127,0.1666666666666666,0.0,0.5212102896588849,0.014831677949142,0.7853844803806889,0.0163522203136228,0.8724541222551382,0.0097954779985282
fcnn,InfoContent,0.9001945922363616,0.0036533773101548,0.9001945922363616,0.0036533773101548,0.891805311004925,0.0098110859602727,0.8916894968381778,0.0057838557267376,0.3076923076923076,0.0,0.5370345493472147,0.0158184725293062,0.7834281786089015,0.0114565279635258,0.8720785781429873,0.0070023597416785
xgb,Connectivity,0.9961699540129232,0.0005536259877586,0.9961699540129232,0.0005536259877586,0.9217978805806022,0.0092516976426911,0.8914239301346804,0.0065325689276221,0.1133333333333333,0.1043498389499901,0.5391341991341991,0.031769701264016,0.7805817637832823,0.0135431272255109,0.8719525908604231,0.0075320713818493
rf,MHFP6,1.0,0.0,1.0,0.0,0.9092733276715814,0.0089599534599856,0.8911893206975174,0.0005027144051214,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8728484003408475,0.0005889403612595
svm,InfoContent,0.8899826086065366,0.0029143413565537,0.8899826086065366,0.0029143413565537,0.8843438722786499,0.010608357277047,0.8911767016775434,0.0035326089682183,0.0333333333333333,0.0745355992499929,0.5310694880361784,0.0062761456058159,0.7900557625462312,0.006571731312403,0.871808092507598,0.0042801048437994
fcnn,MHFP6,0.8935401628758918,0.0229113328304819,0.8935401628758918,0.0229113328304819,0.8813729554698446,0.0176358904808037,0.891139272958591,0.0018989474741262,0.4,0.0,0.5708245243128964,0.0059092705536463,0.8092980897052667,0.001504320943756,0.8727783631893221,0.0021991536132769
svm,EstateFP,0.8816881969864154,0.0022993577395505,0.8816881969864154,0.0022993577395505,0.8763891582178779,0.003740497612811,0.8910893388115249,0.0005062338251036,0.4114285714285713,0.0156492159287189,0.5707941483803552,0.0035770804434767,0.8112502746649088,0.000982671051417,0.8726059781728683,0.0005937937567764
fcnn,TorsionFP,0.9666912754096766,0.0096223322896688,0.9666912754096766,0.0096223322896688,0.9326951585740904,0.010613009184156,0.8909099163568319,0.0054555058429559,0.2857142857142857,0.0,0.5607962639747158,0.0058141428432198,0.7895897670216518,0.0117747053379155,0.8716001654945357,0.0064888155265462
