model,feat,train_TP,train_TP_std,val_TP,val_TP_std,test_TP,test_TP_std,ext_TP,ext_TP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,AtomPairFP,2139.0,8.246211251235321,2139.0,8.246211251235321,257.4,4.335896677735755,336.4,5.3197744313081525,1.0,0.0,21.0,2.0,133.6,5.50454357780915,272.4,5.3197744313081525
DMPNN,Matrix,2116.0,27.920522121829247,2116.0,27.920522121829247,254.2,1.0327955589886442,336.4,9.901739465591108,1.2,0.4216370213557839,21.0,1.3333333333333333,134.6,8.859395514869446,272.4,9.901739465591108
DMPNN,Kappa,2113.2,24.480377629621813,2113.2,24.480377629621813,253.2,6.811754546370563,336.4,4.141926551202417,1.0,0.0,20.6,1.429840705968481,134.6,4.299870799092565,272.6,4.247875285886397
rf,Topology,2134.0,6.782329983125268,2134.0,6.782329983125268,249.4,11.058933040759404,336.2,3.114482300479486,0.2,0.447213595499958,21.0,0.7071067811865476,137.6,3.64691650576209,273.2,3.563705936241085
DMPNN,PharmacoPFP,2135.0,14.48370732160032,2135.0,14.48370732160032,255.2,7.814516406449394,335.6,10.2761860629321,0.0,0.0,19.2,2.859681411936962,134.0,9.545214042184233,272.6,9.53589709116732
fcnn,Property,2045.0,15.016657417681207,2045.0,15.016657417681207,253.2,6.300793600809342,335.2,2.049390153191921,1.0,0.0,17.0,0.7071067811865472,132.2,2.049390153191921,271.2,2.049390153191921
log,RDkitFP,2131.6,6.730527468185549,2131.6,6.730527468185549,249.4,4.72228758124704,334.8,5.118593556827887,0.4,0.5477225575051661,19.8,1.6431676725154984,138.4,3.2863353450309982,273.0,4.847679857416335
DMPNN,MHFP6,2154.2,22.933720926957207,2154.2,22.933720926957207,253.4,3.687817782917153,333.8,6.12463150818979,0.4,0.5163977794943222,21.8,0.4216370213557839,134.0,5.92546294487706,270.4,6.27517153373338
fcnn,AvalonFP,2134.0,9.82344135219425,2134.0,9.82344135219425,256.2,5.540758070878025,333.6,6.542170893518451,3.0,0.0,21.8,1.0954451150103324,131.2,6.418722614352486,269.8,6.76017751246223
rf,Matrix,2135.4,7.503332592921602,2135.4,7.503332592921602,250.0,6.708203932499368,333.0,5.787918451395115,1.0,0.0,21.4,0.8944271909999155,133.8,6.09918027279076,270.8,6.099180272790765
svm,PharmacoPFP,2109.2,10.802777420645118,2109.2,10.802777420645118,259.6,4.5607017003965575,332.8,9.731392500562288,0.2,0.4472135954999579,20.4,1.1401754250991385,133.6,5.770615218501404,269.4,8.532291603080616
xgb,MorganFP,2144.6,8.294576541331123,2144.6,8.294576541331123,255.4,5.5497747702046425,332.6,5.549774770204643,2.0,0.0,22.0,1.0,131.2,4.147288270665544,269.0,5.099019513592778
DMPNN,Charge,2130.2,14.382087624696368,2130.2,14.382087624696368,254.6,4.926120853842976,332.6,13.91402170474087,1.6,0.5163977794943222,22.0,0.9428090415820634,130.2,13.456101466125569,268.6,13.91402170474087
fcnn,InfoContent,2055.6,14.673104647619745,2055.6,14.673104647619745,253.2,5.630275304103697,332.6,2.190890230020672,2.0,0.0,22.4,0.8944271909999155,130.6,2.190890230020662,268.6,2.190890230020672
fcnn,Constitution,2081.0,14.352700094407323,2081.0,14.352700094407323,255.0,6.041522986797287,332.2,7.259476565152608,1.0,0.0,20.6,1.1401754250991385,130.2,6.496152707564683,268.4,7.056911505750939
svm,RDkitFP,2160.0,7.03562363973516,2160.0,7.03562363973516,255.0,5.522680508593631,331.8,4.024922359499624,0.8,0.4472135954999579,18.8,3.7013511046643495,133.0,4.847679857416329,269.0,3.6055512754639847
DMPNN,Constitution,2137.6,17.16067856726209,2137.6,17.16067856726209,254.8,5.432413009990231,331.8,9.46103118645696,1.4,0.5163977794943222,19.6,2.547329756605707,129.2,9.126274644612051,267.8,9.46103118645696
xgb,MACCSFP,2136.0,9.082951062292445,2136.0,9.082951062292445,253.2,5.263078946776304,331.8,4.764451699828642,1.0,0.0,20.2,1.4832396974191324,135.2,5.890670590009259,269.0,5.33853912601566
DMPNN,MorganFP,2152.8,10.819735055289756,2152.8,10.819735055289756,255.0,2.4037008503093262,331.6,4.742245131674328,1.4,0.5163977794943222,19.4,1.07496769977314,133.2,3.735713526965837,269.2,4.541169697580372
rf,Kappa,2103.2,13.608820668963231,2103.2,13.608820668963231,245.0,7.416198487095663,329.4,4.159326868617088,0.2,0.447213595499958,20.2,0.8366600265340753,129.4,4.277849927241487,267.4,4.393176527297752
xgb,PubChemFP,2138.2,5.890670590009308,2138.2,5.890670590009308,254.0,6.670832032063167,328.8,10.23230179382919,1.0,0.0,21.0,1.0,128.0,10.049875621120892,265.4,10.014988766843423
rf,Property,2133.2,6.648308055437868,2133.2,6.648308055437868,248.2,9.338094023943,328.6,4.449719092257405,1.0,0.0,21.0,1.7320508075688772,127.2,4.969909455915673,265.8,5.167204273105526
DMPNN,TorsionFP,2133.0,17.243356208503425,2133.0,17.243356208503425,253.2,5.711586664161038,328.2,15.281070352272812,1.4,0.8432740427115678,19.8,3.9101008796307135,130.0,11.737877907772674,264.8,14.838388651662203
xgb,InfoContent,2154.0,6.633249580710821,2154.0,6.633249580710821,247.8,7.596051605933178,328.2,5.674504383644448,1.0,0.7071067811865476,19.4,1.5165750888103098,131.4,5.319774431308154,266.8,6.3796551630946325
xgb,Connectivity,2158.6,6.503845016603649,2158.6,6.503845016603649,254.6,7.092249290598857,327.6,4.2190046219458,0.6,0.5477225575051661,20.4,0.8944271909999161,126.6,2.6076809620810604,264.2,3.346640106136309
fcnn,Estate,2073.6,24.234273250914708,2073.6,24.234273250914708,253.8,8.258329128825034,326.6,5.0299105359837135,1.0,0.0,20.6,0.547722557505166,124.8,4.324349662087932,262.6,5.0299105359837135
xgb,Estate,2143.0,7.071067811865476,2143.0,7.071067811865476,253.4,4.037325847637271,326.6,4.979959839195495,1.6,0.894427190999916,18.6,2.073644135332772,125.0,5.612486080160913,263.2,5.540758070878026
log,MorganFP,2055.2,14.720733677368148,2055.2,14.720733677368148,240.8,3.898717737923589,326.4,5.366563145999493,0.6,0.5477225575051661,19.8,1.9235384061671343,128.0,4.301162633521313,263.2,5.019960159204452
xgb,Autocorr,2156.2,7.596051605933214,2156.2,7.596051605933214,256.0,3.807886552931952,325.8,6.90651865993281,0.4,0.5477225575051661,15.8,2.16794833886788,124.0,7.245688373094718,262.4,7.092249290598858
fcnn,Fragment,2099.0,5.0990195135927845,2099.0,5.0990195135927845,257.2,4.658325879540842,325.4,4.669047011971497,3.0,0.0,22.0,1.5811388300841898,126.2,4.604345773288538,263.4,4.669047011971497
xgb,Matrix,2145.8,6.9065186599327895,2145.8,6.9065186599327895,248.8,5.069516742254633,325.4,5.899152481501056,1.0,0.0,20.4,0.8944271909999161,125.4,4.979959839195493,262.0,5.787918451395115
xgb,RDkitFP,2158.6,7.231873892705814,2158.6,7.231873892705814,257.0,5.196152422706632,325.0,5.916079783099613,0.2,0.4472135954999579,21.2,0.4472135954999578,123.2,5.805170109479996,262.2,5.80517010948
fcnn,MACCSFP,2087.6,13.069047402163642,2087.6,13.069047402163642,254.4,5.899152481501052,324.8,6.379655163094638,2.4,0.5477225575051661,21.4,1.673320053068151,124.0,7.035623639735142,260.8,6.379655163094638
DMPNN,AtomPairFP,2146.8,7.927448797970486,2146.8,7.927448797970486,254.2,4.49196814077947,324.8,13.256444973420791,0.0,0.0,17.4,3.306559138036599,125.0,11.450376024878446,262.2,12.813187650923467
xgb,TorsionFP,2135.0,8.602325267042627,2135.0,8.602325267042627,256.0,3.5355339059327355,324.4,1.1401754250991352,0.4,0.5477225575051661,17.8,1.3038404810405295,126.4,1.3416407864998732,260.8,1.4832396974191324
DMPNN,RDkitFP,2140.0,10.04434611554624,2140.0,10.04434611554624,252.4,6.484168755086839,324.4,7.229568912920509,0.0,0.0,20.4,0.8432740427115678,123.2,7.254117604658904,262.2,7.254117604658904
DMPNN,Estate,2139.2,11.933147112141,2139.2,11.933147112141,254.8,10.485969461883606,323.8,10.982814858779252,1.2,0.4216370213557839,20.0,2.6666666666666665,121.0,11.095544651395493,260.0,11.095544651395493
xgb,AtomPairFP,2156.8,6.534523701081789,2156.8,6.534523701081789,256.8,4.324349662087934,323.6,11.013627921806693,0.2,0.4472135954999579,15.8,2.16794833886788,123.0,11.113055385446437,260.8,11.41052146047673
xgb,MAP4,2158.6,6.913754406977455,2158.6,6.913754406977455,255.6,5.079370039680117,323.6,8.049844718999243,0.0,0.0,20.0,1.2247448713915892,121.8,7.429670248402684,260.2,8.043631020876083
