model,feat,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,Kappa,0.7871433730588661,0.0034412796676263468,0.7871433730588661,0.0034412796676263468,0.7867435158501441,0.013970258955090274,0.825,0.0027835110713445572,0.26666666666666666,0.06972166887783965,0.39999999999999997,0.013280317881493283,0.6895927601809955,0.004047181859728112,0.8005347593582888,0.0023915165534757303
fcnn,MACCSFP,0.8944023113037197,0.003460177556375143,0.8944023113037197,0.003460177556375143,0.8605187319884726,0.03067506418613298,0.8104545454545455,0.015041265552522073,0.2833333333333333,0.04564354645876383,0.38730158730158726,0.02656063576298653,0.6742081447963801,0.03215536290396361,0.7807486631016043,0.01813457214739377
fcnn,MAP4,0.968075117370892,0.009301051367859064,0.968075117370892,0.009301051367859064,0.8951008645533142,0.020438758762532743,0.8427272727272728,0.017706864709802234,0.31666666666666665,0.13693063937629157,0.5523809523809524,0.09484043965898202,0.7203619909502262,0.03189965019369158,0.8192513368983958,0.020415624779487745
fcnn,MHFP6,0.8137233658360419,0.045521988714588575,0.8137233658360419,0.045521988714588575,0.7936599423631124,0.035913377705301175,0.8040909090909091,0.00406557814090876,0.25,0.0,0.4031746031746032,0.014197256999998662,0.6805429864253394,0.004047181859728111,0.7748663101604277,0.004783033106951436
fcnn,MOE,0.9071867100036114,0.004045748736440642,0.9071867100036114,0.004045748736440642,0.8812680115273774,0.019903511988279027,0.8309090909090908,0.0061405709482301495,0.1666666666666666,0.0,0.39682539682539675,0.02509744174736812,0.7031674208144796,0.010417071885268157,0.8069518716577541,0.006920951393339505
fcnn,Matrix,0.816395810762008,0.005871183116611236,0.816395810762008,0.005871183116611236,0.8109510086455332,0.008048553339348114,0.8127272727272727,0.003446761565477996,0.1666666666666666,0.0,0.38412698412698404,0.0070986284999993475,0.6678733031674208,0.006862330718598724,0.7877005347593583,0.004055013606444636
fcnn,MorganFP,0.9742145178764897,0.0042084961016850015,0.9742145178764897,0.0042084961016850015,0.9008645533141211,0.018294605473318588,0.8231818181818182,0.009425655160603476,0.2333333333333333,0.037267799624996524,0.4126984126984127,0.011223917161691214,0.6932126696832579,0.01372466143719737,0.7967914438502675,0.011343959056468683
fcnn,Path,0.7958107620079451,0.009944834778709579,0.7958107620079451,0.009944834778709579,0.7971181556195965,0.020131699362043773,0.8195454545454546,0.014065225860696185,0.1833333333333333,0.06972166887783965,0.3841269841269841,0.013280317881493293,0.6877828054298643,0.01061180036159148,0.793048128342246,0.01654732454199552
fcnn,PharmacoErGFP,0.9043698085951608,0.00301504246511259,0.9043698085951608,0.00301504246511259,0.8847262247838616,0.01134583267148671,0.825,0.020136414939396954,0.2333333333333333,0.10865337342004416,0.49523809523809526,0.12914822607497145,0.6904977375565611,0.03965412181032881,0.8021390374331551,0.02368989992870229
fcnn,PharmacoPFP,0.9003972553268328,0.009644566490603416,0.9003972553268328,0.009644566490603416,0.8853025936599422,0.01596760250973496,0.8045454545454545,0.007537783614444091,0.0833333333333333,0.0,0.3841269841269841,0.03053235565344657,0.6723981900452489,0.015869391779864423,0.7780748663101604,0.008867980722875436
fcnn,Property,0.8264355362946911,0.0036348104413394143,0.8264355362946911,0.0036348104413394143,0.8201729106628243,0.010107018972190256,0.8218181818181819,0.0025913077843161924,0.1666666666666666,0.0,0.3174603174603174,0.011223917161691249,0.676923076923077,0.005159164819453131,0.7957219251336898,0.0030485973933131777
fcnn,PubChemFP,0.9273383893102203,0.0057748726080922835,0.9273383893102203,0.0057748726080922835,0.887608069164265,0.029879598491826694,0.7345454545454546,0.02502065262640522,0.1666666666666666,0.0,0.3079365079365079,0.036542426772131195,0.5140271493212669,0.047844126290991155,0.6919786096256685,0.029130890267304473
fcnn,RDkitFP,0.9354279523293607,0.011277787067840708,0.9354279523293607,0.011277787067840708,0.8927953890489914,0.02207951735951348,0.8359090909090909,0.005882808684338509,0.2333333333333333,0.06972166887783965,0.3936507936507936,0.013280317881493293,0.7013574660633484,0.014308948688544734,0.8096256684491978,0.0069209513933394876
fcnn,Topology,0.8016612495485734,0.01104407362862979,0.8016612495485734,0.01104407362862979,0.7976945244956772,0.016729596857291057,0.8209090909090909,0.004371678195834405,0.19999999999999996,0.04564354645876388,0.38095238095238093,0.019440394783993484,0.6805429864253394,0.00882062836634297,0.7946524064171123,0.005143150818628672
fcnn,TorsionFP,0.9471289274106176,0.015272046317522107,0.9471289274106176,0.015272046317522107,0.8927953890489914,0.01804319981844211,0.809090909090909,0.009642365197998345,0.1666666666666666,0.0,0.4031746031746032,0.01419725699999868,0.6624434389140271,0.01798606960574829,0.7802139037433156,0.01108900607129825
log,AtomPairFP,0.9746478873239436,0.0016628189863808194,0.9746478873239436,0.0016628189863808194,0.8870317002881845,0.011776839620577824,0.8472727272727273,0.020416631528614268,0.7666666666666667,0.03726779962499651,0.7492063492063492,0.05429406786186373,0.755656108597285,0.041594516540385144,0.8262032085561497,0.022844929800314252
log,Autocorr,0.8876850848681835,0.0047910795093613475,0.8876850848681835,0.0047910795093613475,0.8536023054755043,0.013269007992186017,0.7368181818181819,0.0133878877045665,0.55,0.12638125740085918,0.6063492063492063,0.11077045284043116,0.6108597285067873,0.0316742081447964,0.7085561497326204,0.01890659842744781
log,AvalonFP,0.951895991332611,0.002096486135601269,0.951895991332611,0.002096486135601269,0.8760806916426512,0.021177144750286807,0.6890909090909091,0.01248966514912189,0.31666666666666665,0.03726779962499649,0.29841269841269835,0.020695880651436942,0.47149321266968325,0.020083566534997425,0.6459893048128342,0.012767204691244208
log,Charge,0.7599133261105092,0.007161166952947879,0.7599133261105092,0.007161166952947879,0.7711815561959654,0.01586323797639529,0.7263636363636363,0.013693063937629148,0.4666666666666666,0.07453559924999299,0.6603174603174603,0.034776035397153425,0.5755656108597285,0.026845967374101984,0.6935828877005348,0.015886043612313314
log,Connectivity,0.7830985915492958,0.0026365781507322926,0.7830985915492958,0.0026365781507322926,0.7855907780979827,0.022004160425153987,0.6886363636363637,0.012956538921581133,0.4166666666666667,0.0,0.5587301587301587,0.0070986284999993,0.4796380090497737,0.02216732798898805,0.6411764705882353,0.014198842831392274
log,Constitution,0.7791260382809678,0.005970309701028599,0.7791260382809678,0.005970309701028599,0.7729106628242075,0.028265590398246013,0.6581818181818182,0.01843572708243021,0.13333333333333328,0.045643546458763826,0.27301587301587293,0.051921991218400416,0.4262443438914027,0.02507130348813588,0.6101604278074866,0.020831605540943838
