model,feat,train_SE,train_SE_std,val_SE,val_SE_std,test_SE,test_SE_std,ext_SE,ext_SE_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,MorganFP,0.9953710160112692,0.0021944451729825,0.9953710160112692,0.0021944451729825,0.9487379185117985,0.0089275971648211,0.9393767705382438,0.0134341221860463,0.4666666666666666,0.172132593164774,0.776,0.0429987079909256,0.8880000000000001,0.0249047568464389,0.9314878892733564,0.0157133899570255
rf,Kappa,0.9724362263882812,0.0037122972932664,0.9724362263882812,0.0037122972932664,0.9113218800904296,0.0171986938700484,0.9331444759206798,0.0117827956618046,0.0666666666666666,0.1490711984999859,0.808,0.033466401061363,0.8626666666666667,0.0285189995149432,0.9252595155709344,0.015201302862622
xgb,PubChemFP,0.9886268628885928,0.0007540270557535,0.9886268628885928,0.0007540270557535,0.944857274368048,0.0156531275096161,0.9314447592067988,0.028986690634077,0.3333333333333333,0.0,0.8400000000000001,0.0399999999999999,0.8533333333333333,0.0669991708074725,0.9183391003460208,0.0346539403697004
rf,Property,0.986314897080896,0.001505607292228,0.986314897080896,0.001505607292228,0.9231525574300296,0.0239017873202025,0.9308781869688384,0.0126054365219757,0.3333333333333333,0.0,0.8400000000000001,0.0692820323027551,0.8480000000000001,0.0331327297061044,0.9197231833910036,0.0178795995609188
xgb,InfoContent,0.995931756278972,0.0011460041974292,0.995931756278972,0.0011460041974292,0.9217142694125446,0.0161190933660916,0.929745042492918,0.0160750832397859,0.3333333333333333,0.2357022603955158,0.776,0.0606630035524123,0.876,0.0354651628753877,0.9231833910034604,0.022074931360189
DMPNN,TorsionFP,0.9862351220655988,0.0092154228693606,0.9862351220655988,0.0092154228693606,0.9420242641043732,0.0203795681327963,0.9297450424929178,0.0432891511395829,0.4666666666666666,0.2810913475705226,0.792,0.1564040351852285,0.8666666666666666,0.0782525193851511,0.9162629757785468,0.0513439053690733
xgb,Connectivity,0.9980585823690348,0.000887288745355,0.9980585823690348,0.000887288745355,0.9470847498462605,0.017902429784975,0.9280453257790368,0.0119518544531042,0.2,0.1825741858350553,0.8160000000000001,0.0357770876399966,0.844,0.017384539747207,0.9141868512110726,0.0115800695714059
fcnn,Estate,0.9587406592641458,0.0087999651179362,0.9587406592641458,0.0087999651179362,0.9440659033250114,0.0215338731583296,0.9252124645892352,0.0142490383455629,0.3333333333333333,0.0,0.8240000000000001,0.0219089023002066,0.8320000000000001,0.0288289977472529,0.908650519031142,0.0174045347265872
xgb,Estate,0.9908447795361722,0.0005147833457988,0.9908447795361722,0.0005147833457988,0.9427603635692468,0.0129917549409034,0.9252124645892352,0.0141075349552279,0.5333333333333333,0.2981423969999719,0.744,0.0829457654133108,0.8333333333333334,0.0374165738677393,0.910726643598616,0.0191721732556333
log,MorganFP,0.9502416999842666,0.0043307495673942,0.9502416999842666,0.0043307495673942,0.8958406996659379,0.0081180530905637,0.9246458923512748,0.0152027284589221,0.2,0.1825741858350553,0.792,0.0769415362466853,0.8533333333333333,0.0286744175568087,0.910726643598616,0.0173701043571088
xgb,Autocorr,0.9969475874130838,0.0009041553677057,0.9969475874130838,0.0009041553677057,0.9523834743307612,0.0047287414528721,0.9229461756373938,0.0195652086683648,0.1333333333333333,0.1825741858350553,0.632,0.0867179335547151,0.8266666666666668,0.0483045891539647,0.9079584775086506,0.0245406549847711
fcnn,Fragment,0.9705036192021496,0.0015553534604386,0.9705036192021496,0.0015553534604386,0.9568251550915864,0.0083531371426743,0.9218130311614732,0.0132267620735736,1.0,0.0,0.8800000000000001,0.0632455532033675,0.8413333333333334,0.0306956384885902,0.9114186851211074,0.0161558720137421
xgb,Matrix,0.9921398459993984,0.000924229900101,0.9921398459993984,0.000924229900101,0.9255459674791436,0.0084789117973345,0.9218130311614732,0.0167114801175667,0.3333333333333333,0.0,0.8160000000000001,0.0357770876399966,0.836,0.0331997322613032,0.906574394463668,0.0200273994857962
xgb,RDkitFP,0.9980574668995386,0.0003903302501815,0.9980574668995386,0.0003903302501815,0.9560893616167744,0.0128338571301489,0.9206798866855525,0.0167594328133134,0.0666666666666666,0.1490711984999859,0.8480000000000001,0.0178885438199983,0.8213333333333332,0.0387011340631999,0.9072664359861592,0.0200870938044291
fcnn,MACCSFP,0.9652246728158552,0.0037790415690151,0.9652246728158552,0.0037790415690151,0.9463975964585384,0.0150615361087018,0.920113314447592,0.0180726775158487,0.8,0.1825741858350553,0.8560000000000001,0.066932802122726,0.8266666666666668,0.0469041575982343,0.9024221453287196,0.0220749313601889
DMPNN,AtomPairFP,0.9926053388795942,0.0034623961892322,0.9926053388795942,0.0034623961892322,0.9456901474364828,0.0115514299207103,0.920113314447592,0.0375536684799455,0.0,0.0,0.696,0.1322623655214639,0.8333333333333333,0.0763358401658563,0.9072664359861592,0.0443362894495622
xgb,TorsionFP,0.9871440844142156,0.0010380016658832,0.9871440844142156,0.0010380016658832,0.9524501385122768,0.0122881725586779,0.9189801699716714,0.0032299587113288,0.1333333333333333,0.1825741858350553,0.712,0.0521536192416211,0.8426666666666668,0.0089442719099991,0.9024221453287196,0.0051323172921076
DMPNN,RDkitFP,0.9894637916486122,0.005066264880288,0.9894637916486122,0.005066264880288,0.9390102841049076,0.0218574737229898,0.9189801699716714,0.0204803651924093,0.0,0.0,0.8160000000000001,0.0337309617084626,0.8213333333333332,0.0483607840310593,0.9072664359861592,0.0251007529572972
DMPNN,Estate,0.9890978693688484,0.0065704371003243,0.9890978693688484,0.0065704371003243,0.947611116509567,0.0272739548206888,0.9172804532577904,0.0311127899682132,0.3999999999999999,0.1405456737852612,0.8,0.1066666666666666,0.8066666666666666,0.0739702976759699,0.8996539792387542,0.0383928880671124
xgb,AtomPairFP,0.99722601076452,0.0003246758974131,0.99722601076452,0.0003246758974131,0.9553467432837858,0.0069923989214184,0.91671388101983,0.0312000790986025,0.0666666666666666,0.1490711984999859,0.632,0.0867179335547152,0.82,0.0740870359029761,0.9024221453287196,0.0394827732196426
xgb,MAP4,0.9980579816694772,0.0006852087851254,0.9980579816694772,0.0006852087851254,0.9508428462502092,0.0076191404880882,0.91671388101983,0.022804092688383,0.0,0.0,0.8,0.0489897948556635,0.8119999999999999,0.0495311349893512,0.9003460207612457,0.0278326332902286
xgb,PharmacoPFP,0.9811334470655606,0.0021215476833614,0.9811334470655606,0.0021215476833614,0.9411459404589412,0.0090430035529645,0.9144475920679888,0.0197692309601903,0.0,0.0,0.696,0.1314534138012398,0.8333333333333334,0.045946829173634,0.9051903114186852,0.0264202203028665
rf,PharmacoPFP,0.9440626701101388,0.0099253214812037,0.9440626701101388,0.0099253214812037,0.8972602708647294,0.0195958872558424,0.9144475920679888,0.022609710979303,0.0,0.0,0.784,0.0219089023002066,0.8506666666666668,0.0484424056655599,0.9100346020761249,0.0262383233358186
DMPNN,MACCSFP,0.9875126700570608,0.0112637676489059,0.9875126700570608,0.0112637676489059,0.949311233823597,0.0109139394506596,0.9116147308781868,0.0249406217476399,0.2,0.172132593164774,0.664,0.0868203765125317,0.8,0.0523992272113404,0.8920415224913494,0.0304638044183975
xgb,EstateFP,0.9648546550895708,0.0044750478038809,0.9648546550895708,0.0044750478038809,0.954711904423504,0.0133711911483024,0.9110481586402266,0.0084036243479838,0.6666666666666666,0.2357022603955158,0.8480000000000001,0.0593295878967653,0.792,0.0196638416050034,0.8913494809688581,0.0102646345842154
svm,Connectivity,0.973828126391038,0.0028771053055217,0.973828126391038,0.0028771053055217,0.9702153706975354,0.0157676169975253,0.9104815864022664,0.0081613939325144,0.6,0.1490711984999859,0.696,0.0357770876399966,0.7906666666666666,0.0186189867250252,0.8906574394463668,0.0099687614469812
svm,Estate,0.9522764793383984,0.0033324462181841,0.9522764793383984,0.0033324462181841,0.9509242786988196,0.0057041985587976,0.9104815864022662,0.0062064879037413,0.8666666666666666,0.1825741858350553,0.9280000000000002,0.0178885438199982,0.8066666666666666,0.0081649658092772,0.8906574394463668,0.0075809350519746
